Platform,Match Score,Kept Key,Moved Key,Kept File,Moved File
mastersystem,100.0,wonder boy zip,wonder boy in monster world zip,"mastersystem\Wonder Boy (USA, Europe, Brazil) (Rev 1).zip",mastersystem\Wonder Boy in Monster World (Europe).zip
mastersystem,100.0,zillion zip,zillion 2 the tri formation zip,"mastersystem\Zillion (USA, Europe) (Rev 1).zip",mastersystem\Zillion II - The Tri Formation (World).zip
mastersystem,100.0,zillion zip,zillion zip,"mastersystem\Zillion (USA, Europe) (Rev 1).zip",mastersystem\Zillion.zip
megadrive,93.75,29 quackshot starring donald duck quackshot 1 love donald duck guruzia ou no hihou md,quackshot starring donald duck zip,megadrive\29. QuackShot Starring Donald Duck ~ QuackShot - I Love Donald Duck - Guruzia Ou no Hihou (World) (Rev A).md,megadrive\QuackShot Starring Donald Duck (World) (Rev A).zip
megadrive,93.10344827586206,98 dune 2 the battle for arrakis md,dune the battle for arrakis zip,megadrive\98.  Dune II - The Battle for Arrakis (USA).md,megadrive\Dune - The Battle for Arrakis (USA).zip
megadrive,100.0,aero the acro bat zip,aero the acro bat 2 zip,megadrive\Aero the Acro-Bat (USA).zip,megadrive\Aero the Acro-Bat 2 (USA).zip
megadrive,100.0,earthworm jim zip,earthworm jim 2 zip,megadrive\Earthworm Jim (USA).zip,megadrive\Earthworm Jim 2 (USA).zip
megadrive,100.0,golden axe zip,golden axe 2 zip,megadrive\Golden Axe (World) (Rev A).zip,megadrive\Golden Axe II (World).zip
megadrive,100.0,golden axe zip,golden axe 3 zip,megadrive\Golden Axe (World) (Rev A).zip,megadrive\Golden Axe III (Japan) (En).zip
megadrive,93.33333333333333,james pond underwater agent zip,james pond 3 zip,"megadrive\James Pond - Underwater Agent (USA, Europe).zip","megadrive\James Pond 3 (USA, Europe).zip"
megadrive,100.0,jurassic park zip,jurassic park rampage edition zip,megadrive\Jurassic Park (USA).zip,"megadrive\Jurassic Park - Rampage Edition (USA, Europe).zip"
megadrive,100.0,jurassic park zip,lost world the jurassic park zip,megadrive\Jurassic Park (USA).zip,"megadrive\Lost World, The - Jurassic Park (USA, Europe).zip"
megadrive,100.0,mortal kombat zip,mortal kombat 3 zip,megadrive\Mortal Kombat (World).zip,megadrive\Mortal Kombat 3 (USA).zip
megadrive,100.0,mortal kombat zip,mortal kombat 2 zip,megadrive\Mortal Kombat (World).zip,megadrive\Mortal Kombat II (World).zip
megadrive,100.0,mortal kombat zip,ultimate mortal kombat 3 zip,megadrive\Mortal Kombat (World).zip,megadrive\Ultimate Mortal Kombat 3 (USA).zip
megadrive,100.0,road rash zip,road rash 3 zip,"megadrive\Road Rash (USA, Europe).zip","megadrive\Road Rash 3 (USA, Europe).zip"
megadrive,100.0,road rash zip,road rash 2 zip,"megadrive\Road Rash (USA, Europe).zip","megadrive\Road Rash II (USA, Europe) (RR206).zip"
megadrive,100.0,shining force zip,shining force 2 zip,megadrive\Shining Force (USA).zip,megadrive\Shining Force II (USA).zip
megadrive,100.0,sonic and knuckles sonic the hedgehog 3 zip,sonic the hedgehog zip,megadrive\Sonic & Knuckles + Sonic The Hedgehog 3 (USA).zip,"megadrive\Sonic The Hedgehog (USA, Europe).zip"
megadrive,100.0,streets of rage zip,streets of rage 2 zip,megadrive\Streets of Rage (World) (Rev A).zip,megadrive\Streets of Rage 2 (USA).zip
megadrive,100.0,streets of rage zip,streets of rage 3 zip,megadrive\Streets of Rage (World) (Rev A).zip,megadrive\Streets of Rage 3 (USA).zip
megadrive,100.0,toejam and earl zip,toejam and earl in panic on funkotron zip,"megadrive\ToeJam & Earl (USA, Europe, Korea).zip",megadrive\ToeJam & Earl in Panic on Funkotron (USA).zip
megadrive,100.0,vectorman zip,vectorman 2 zip,"megadrive\Vectorman (USA, Europe).zip",megadrive\Vectorman 2 (USA).zip
naomi,96.55172413793103,powerstone bin,powerstone2 bin,naomi\Powerstone.bin,naomi\PowerStone2.bin
nds,92.85714285714286,52 mega man star force dragon nds,52 mega man star force leo nds,nds\52. Mega Man Star Force - Dragon (USA).nds,nds\52. Mega Man Star Force - Leo (USA).nds
neogeo,93.33333333333333,aof zip,aof2 zip,neogeo\aof.zip,neogeo\aof2.zip
neogeo,93.33333333333333,aof zip,aof3 zip,neogeo\aof.zip,neogeo\aof3.zip
neogeo,95.23809523809524,bstars zip,bstars2 zip,neogeo\bstars.zip,neogeo\bstars2.zip
neogeo,94.11764705882354,kotm zip,kotm2 zip,neogeo\kotm.zip,neogeo\kotm2.zip
neogeo,94.73684210526315,mslug zip,mslug2 zip,neogeo\mslug.zip,neogeo\mslug2.zip
neogeo,94.73684210526315,mslug zip,mslug3 zip,neogeo\mslug.zip,neogeo\mslug3.zip
neogeo,94.73684210526315,mslug zip,mslug4 zip,neogeo\mslug.zip,neogeo\mslug4.zip
neogeo,94.73684210526315,mslug zip,mslug5 zip,neogeo\mslug.zip,neogeo\mslug5.zip
neogeo,94.73684210526315,mslug zip,mslugx zip,neogeo\mslug.zip,neogeo\mslugx.zip
neogeo,95.23809523809524,samsho zip,samsho2 zip,neogeo\samsho.zip,neogeo\samsho2.zip
neogeo,95.23809523809524,samsho zip,samsho3 zip,neogeo\samsho.zip,neogeo\samsho3.zip
neogeo,95.23809523809524,samsho zip,samsho4 zip,neogeo\samsho.zip,neogeo\samsho4.zip
neogeo,95.23809523809524,samsho zip,samsho5 zip,neogeo\samsho.zip,neogeo\samsho5.zip
neogeo,95.65217391304348,sengoku zip,sengoku2 zip,neogeo\sengoku.zip,neogeo\sengoku2.zip
neogeo,95.65217391304348,sengoku zip,sengoku3 zip,neogeo\sengoku.zip,neogeo\sengoku3.zip
neogeo,95.65217391304348,ssideki zip,ssideki2 zip,neogeo\ssideki.zip,neogeo\ssideki2.zip
neogeo,95.65217391304348,ssideki zip,ssideki3 zip,neogeo\ssideki.zip,neogeo\ssideki3.zip
neogeo,95.65217391304348,ssideki zip,ssideki4 zip,neogeo\ssideki.zip,neogeo\ssideki4.zip
neogeo,95.65217391304348,stakwin zip,stakwin2 zip,neogeo\stakwin.zip,neogeo\stakwin2.zip
neogeo,93.33333333333333,wh2 zip,wh2j zip,neogeo\wh2.zip,neogeo\wh2j.zip
nes,100.0,adventure island zip,adventure island 3 zip,nes\Adventure Island (USA).zip,nes\Adventure Island 3 (USA).zip
nes,100.0,adventure island zip,adventure island 2 zip,nes\Adventure Island (USA).zip,nes\Adventure Island II (USA).zip
nes,100.0,adventure island zip,adventure island 4 zip,nes\Adventure Island (USA).zip,nes\Adventure Island IV (Japan) (Translated).zip
nes,100.0,adventures of lolo zip,adventures of lolo 2 zip,nes\Adventures of Lolo (USA).zip,nes\Adventures of Lolo 2 (USA).zip
nes,100.0,adventures of lolo zip,adventures of lolo 3 zip,nes\Adventures of Lolo (USA).zip,nes\Adventures of Lolo 3 (USA).zip
nes,100.0,battletoads zip,battletoads double dragon zip,nes\Battletoads (USA).zip,nes\Battletoads-Double Dragon (USA).zip
nes,100.0,bomberman zip,bomberman 2 zip,nes\Bomberman (USA).zip,nes\Bomberman II (USA).zip
nes,100.0,bubble bobble zip,bubble bobble part 2 zip,nes\Bubble Bobble (USA).zip,nes\Bubble Bobble Part 2 (USA).zip
nes,100.0,bubble bobble zip,rainbow islands bubble bobble 2 zip,nes\Bubble Bobble (USA).zip,nes\Rainbow Islands - Bubble Bobble 2 (Europe).zip
nes,100.0,castlevania zip,castlevania 2 simon s quest zip,nes\Castlevania (USA) (Rev 1).zip,nes\Castlevania II - Simon's Quest (USA).zip
nes,100.0,castlevania zip,castlevania 3 dracula s curse zip,nes\Castlevania (USA) (Rev 1).zip,nes\Castlevania III - Dracula's Curse (USA).zip
nes,100.0,chip n dale rescue rangers zip,chip n dale rescue rangers 2 zip,nes\Chip 'n Dale - Rescue Rangers (USA).zip,nes\Chip 'n Dale - Rescue Rangers 2 (USA).zip
nes,100.0,digital devil story megami tensei zip,digital devil story megami tensei 2 zip,nes\Digital Devil Story - Megami Tensei (Japan) (Translated).zip,nes\Digital Devil Story - Megami Tensei II (Japan) (Rev A) (Translated).zip
nes,100.0,double dragon zip,double dragon 2 the revenge zip,nes\Double Dragon (USA).zip,nes\Double Dragon II - The Revenge (USA) (Rev 1).zip
nes,100.0,double dragon zip,double dragon 3 the sacred stones zip,nes\Double Dragon (USA).zip,nes\Double Dragon III - The Sacred Stones (USA).zip
nes,100.0,dragon warrior zip,dragon warrior 2 zip,nes\Dragon Warrior (USA) (Rev 1).zip,nes\Dragon Warrior II (USA).zip
nes,100.0,dragon warrior zip,dragon warrior 3 zip,nes\Dragon Warrior (USA) (Rev 1).zip,nes\Dragon Warrior III (USA).zip
nes,100.0,dragon warrior zip,dragon warrior 4 zip,nes\Dragon Warrior (USA) (Rev 1).zip,nes\Dragon Warrior IV (USA).zip
nes,100.0,ducktales zip,ducktales 2 zip,nes\DuckTales (USA).zip,nes\DuckTales 2 (USA).zip
nes,100.0,final fantasy zip,final fantasy 2 zip,nes\Final Fantasy (USA).zip,nes\Final Fantasy II (Japan) (Translated).zip
nes,100.0,final fantasy zip,final fantasy 3 zip,nes\Final Fantasy (USA).zip,nes\Final Fantasy III (Japan) (Translated).zip
nes,100.0,ganbare goemon gaiden the missing golden pipe zip,ganbare goemon zip,nes\Ganbare Goemon Gaiden - The Missing Golden Pipe (Japan) (Translated).zip,nes\Ganbare Goemon! (Japan) (Translated).zip
nes,100.0,gradius zip,gradius 2 zip,nes\Gradius (USA).zip,nes\Gradius II (Japan).zip
nes,100.0,jackie chan s action kung fu zip,kung fu zip,nes\Jackie Chan's Action Kung Fu (USA).zip,"nes\Kung Fu (Japan, USA).zip"
nes,100.0,mega man zip,mega man 2 zip,nes\Mega Man (USA).zip,nes\Mega Man 2 (USA).zip
nes,100.0,mega man zip,mega man 3 zip,nes\Mega Man (USA).zip,nes\Mega Man 3 (USA).zip
nes,100.0,mega man zip,mega man 4 zip,nes\Mega Man (USA).zip,nes\Mega Man 4 (USA) (Rev 1).zip
nes,100.0,mega man zip,mega man 5 zip,nes\Mega Man (USA).zip,nes\Mega Man 5 (USA).zip
nes,100.0,mega man zip,mega man 6 zip,nes\Mega Man (USA).zip,nes\Mega Man 6 (USA).zip
nes,100.0,ninja gaiden zip,ninja gaiden 2 the dark sword of chaos zip,nes\Ninja Gaiden (USA).zip,nes\Ninja Gaiden II - The Dark Sword of Chaos (USA).zip
nes,100.0,ninja gaiden zip,ninja gaiden 3 the ancient ship of doom zip,nes\Ninja Gaiden (USA).zip,nes\Ninja Gaiden III - The Ancient Ship of Doom (USA).zip
nes,100.0,nobunaga s ambition zip,nobunaga s ambition 2 zip,nes\Nobunaga's Ambition (USA).zip,nes\Nobunaga's Ambition II (USA).zip
nes,100.0,power blade zip,power blade 2 zip,nes\Power Blade (USA).zip,nes\Power Blade 2 (USA).zip
nes,100.0,r c pro am zip,r c pro am 2 zip,nes\R.C. Pro-Am (USA) (Rev 1).zip,nes\R.C. Pro-Am II (USA).zip
nes,100.0,romance of the three kingdoms zip,romance of the three kingdoms 2 zip,nes\Romance of the Three Kingdoms (USA).zip,nes\Romance of the Three Kingdoms II (USA).zip
nes,100.0,startropics zip,zoda s revenge startropics 2 zip,nes\StarTropics (USA).zip,nes\Zoda's Revenge - StarTropics II (USA).zip
nes,100.0,super mario bros zip,super mario bros 2 zip,nes\Super Mario Bros. (World).zip,nes\Super Mario Bros. 2 (USA) (Rev 1).zip
nes,100.0,super mario bros zip,super mario bros 3 zip,nes\Super Mario Bros. (World).zip,nes\Super Mario Bros. 3 (USA) (Rev 1).zip
nes,100.0,tecmo bowl zip,tecmo super bowl zip,nes\Tecmo Bowl (USA) (Rev 1).zip,nes\Tecmo Super Bowl (USA).zip
nes,100.0,teenage mutant ninja turtles zip,teenage mutant ninja turtles 2 the arcade game zip,nes\Teenage Mutant Ninja Turtles (USA).zip,nes\Teenage Mutant Ninja Turtles II - The Arcade Game (USA).zip
nes,100.0,teenage mutant ninja turtles zip,teenage mutant ninja turtles 3 the manhattan project zip,nes\Teenage Mutant Ninja Turtles (USA).zip,nes\Teenage Mutant Ninja Turtles III - The Manhattan Project (USA).zip
nes,100.0,tetris zip,tetris 2 zip,nes\Tetris (USA).zip,nes\Tetris 2 (USA).zip
nes,100.0,tiny toon adventures zip,tiny toon adventures 2 trouble in wackyland zip,nes\Tiny Toon Adventures (USA).zip,nes\Tiny Toon Adventures 2 - Trouble in Wackyland (USA).zip
nes,100.0,wai wai world zip,wai wai world 2 sos parsley castle zip,nes\Wai Wai World (Japan) (Translated).zip,nes\Wai Wai World 2 - SOS!! Parsley Castle (Japan) (Translated).zip
ngp,100.0,samurai shodown pocket fighting series zip,samurai shodown 2 pocket fighting series zip,"ngp\Samurai Shodown! - Pocket Fighting Series (Japan, Europe) (En,Ja).zip","ngp\Samurai Shodown! 2 - Pocket Fighting Series (World) (En,Ja).zip"
pcengine,100.0,bomberman 93 zip,bomberman zip,pcengine\Bomberman '93 (USA).zip,pcengine\Bomberman (USA).zip
pcengine,100.0,bonk 3 bonk s big adventure zip,bonk s adventure zip,pcengine\Bonk 3 - Bonk's Big Adventure (USA).zip,pcengine\Bonk's Adventure (USA).zip
